City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,barra de santo antonio,-9.4047,-35.5072,27.6,83,10,2.46,BR,1711923532
141,berdigestyakh,62.0989,126.6992,-28.11,100,100,1.02,RU,1711923449
142,susuman,62.7833,148.1667,-15.57,94,81,1.34,RU,1711923465
143,embi,48.8264,58.1442,-0.11,87,14,2.37,KZ,1711923533
144,papao,-17.75,-149.55,28.82,86,98,12.16,PF,1711923320
145,price,39.5994,-110.8107,10.06,31,100,7.2,US,1711923533
146,melekeok village,7.4957,134.6367,27.31,78,75,4.12,PW,1711923533
147,mersa matruh,31.3525,27.2453,18.61,75,0,2.52,EG,1711923534
148,polyarnyy,69.1989,33.4478,-11.2,92,81,3.67,RU,1711923424
149,sao bento do sul,-26.2503,-49.3786,21.24,98,82,1.07,BR,1711923534
150,hasaki,35.7333,140.8333,12.38,84,100,11.59,JP,1711923460
151,fort bragg,35.139,-79.006,28.41,33,0,4.63,US,1711923228
152,juan de herrera,18.874,-71.2383,27.45,50,44,4.0,DO,1711923534
153,flying fish cove,-10.4217,105.6791,25.82,83,40,3.6,CX,1711923535
154,potsdam,52.3989,13.0657,13.34,94,80,1.46,DE,1711923535
155,joshimath,30.5667,79.5667,7.41,58,63,3.9,IN,1711923535
156,port douglas,-16.4833,145.4667,25.52,80,88,4.49,AU,1711923489
157,kayenta,36.7278,-110.2546,9.21,34,54,9.82,US,1711923535
158,saint-francois,46.4154,3.9054,9.69,89,100,0.51,FR,1711923535
159,al kharijah,25.4514,30.5464,24.8,28,0,3.0,EG,1711923535
160,vilyuchinsk,52.9306,158.4028,0.15,96,100,2.42,RU,1711923469
161,sungai penuh,-2.0833,101.3833,18.59,96,85,1.3,ID,1711923536
162,isangel,-19.55,169.2667,26.41,60,1,4.31,VU,1711923489
163,langtoucun,40.0261,124.3286,3.78,51,12,1.07,CN,1711923536
164,quellon,-43.1167,-73.6167,10.06,69,16,2.66,CL,1711923494
165,bida,9.0833,6.0167,32.98,36,100,2.36,NG,1711923536
166,balykshi,47.0667,51.8667,5.0,81,0,3.0,KZ,1711923537
167,gamba,-2.65,10.0,25.98,89,100,0.55,GA,1711923537
168,kapuskasing,49.4169,-82.4331,1.87,79,100,1.8,CA,1711923437
169,wotho,10.1657,166.0102,27.23,80,100,8.9,MH,1711923537
170,qui nhon,13.7667,109.2333,24.45,86,13,2.49,VN,1711923537
171,miquelon,47.0975,-56.3814,0.0,76,61,7.42,PM,1711923537
172,uturoa,-16.7333,-151.4333,28.78,77,35,8.98,PF,1711923445
173,vorkuta,67.5,64.0,-8.24,95,100,4.52,RU,1711923323
174,tura,25.5198,90.2201,21.25,94,79,3.46,IN,1711923484
175,itaituba,-4.2761,-55.9836,27.28,78,46,0.83,BR,1711923531
176,mugia,43.1041,-9.2179,11.06,76,59,10.07,ES,1711923538
